t.day,sp,numbr,P.MPa,nomID,stemID,k.g.s.MPa,r2,Pleaf.MPa,ver,plc,leaf_area
140.429582,quke_post,977.2.3,0,quke_post 977.23 0 MPa,quke_post 977.23,0.001452992,NA,-0.035,v18,NA,NA
140.4368687,quke_post,216.2.1,0,quke_post 216.21 0 MPa,quke_post 216.21,-3.87E-05,NA,-0.15,v18,NA,NA
140.4453391,quke_post,216.2.2,0,quke_post 216.22 0 MPa,quke_post 216.22,1.73E-09,NA,-0.37,v18,NA,NA
140.4539562,quke_post,208.3.1,0,quke_post 208.31 0 MPa,quke_post 208.31,0.000993733,NA,-0.038,v18,NA,NA
140.4620214,quke_post,208.3.2,0,quke_post 208.32 0 MPa,quke_post 208.32,0.000423441,NA,-0.072,v18,NA,NA
140.4687414,quke_post,977.4.1,0,quke_post 977.41 0 MPa,quke_post 977.41,2.22E-05,NA,-0.392,v18,NA,NA
140.4772854,quke_post,977.4.2,0,quke_post 977.42 0 MPa,quke_post 977.42,0.000670128,NA,-0.026,v18,NA,NA
140.4851171,quke_post,198.1.1,0,quke_post 198.1 0 MPa,quke_post 198.1,7.59E-06,NA,-0.574,v18,NA,NA
140.4954258,quke_post,198.2.1,0,quke_post 198.2 0 MPa,quke_post 198.2,4.15E-05,NA,-0.07,v18,NA,NA
140.5042237,quke_post,977.5.1,0,quke_post 977.51 0 MPa,quke_post 977.51,6.92E-05,NA,-0.042,v18,NA,NA
140.5121041,quke_post,977.5.2,0,quke_post 977.52 0 MPa,quke_post 977.52,0.001101654,NA,-0.058,v18,NA,NA
140.5187678,quke_post,977.1.1,0,quke_post 977.11 0 MPa,quke_post 977.11,0.000345541,NA,-0.063,v18,NA,NA
140.5279524,quke_post,977.1.2,0,quke_post 977.12 0 MPa,quke_post 977.12,0.000628245,NA,-0.074,v18,NA,NA
140.5325708,quke_post,216.1.1,0,quke_post 216.11 0 MPa,quke_post 216.11,-5.32E-05,NA,-0.082,v18,NA,NA
140.5410204,quke_post,216.1.2,0,quke_post 216.12 0 MPa,quke_post 216.12,0.000115206,NA,-0.063,v18,NA,NA
140.5475138,quke_post,216.3.1,0,quke_post 216.31 0 MPa,quke_post 216.31,9.77E-05,NA,-0.104,v18,NA,NA
140.5543438,quke_post,216.3.2,0,quke_post 216.32 0 MPa,quke_post 216.32,0.000181537,NA,-0.12,v18,NA,NA
140.5607755,quke_post,208.2.1,0,quke_post 208.21 0 MPa,quke_post 208.21,0.000189403,NA,-0.092,v18,NA,NA
140.5673598,quke_post,208.2.2,0,quke_post 208.22 0 MPa,quke_post 208.22,0.000212206,NA,-0.13,v18,NA,NA
140.5791442,quke_post,47.3.1,0,quke_post 47.31 0 MPa,quke_post 47.31,0.00032455,NA,-0.085,v18,NA,NA
140.5867958,quke_post,47.3.2,0,quke_post 47.32 0 MPa,quke_post 47.32,0.000798074,NA,-0.04,v18,NA,NA
140.5945608,quke_post,47.1.1,0,quke_post 47.11 0 MPa,quke_post 47.11,0.001276265,NA,-0.033,v18,NA,NA
140.6026186,quke_post,47.1.2,0,quke_post 47.12 0 MPa,quke_post 47.12,0.001418506,NA,-0.043,v18,NA,NA
140.6140783,quke_post,198.3.1,0,quke_post 198.31 0 MPa,quke_post 198.31,0.002866286,NA,-0.038,v18,NA,NA
140.6223743,quke_post,198.3.2,0,quke_post 198.32 0 MPa,quke_post 198.32,0.000113933,NA,-0.37,v18,NA,NA
140.6299064,quke_post,126.3.1,0,quke_post 126.31 0 MPa,quke_post 126.31,0.000433766,NA,-0.077,v18,NA,NA
140.6376513,quke_post,126.3.2,0,quke_post 126.32 0 MPa,quke_post 126.32,0.002067515,NA,-0.033,v18,NA,NA
140.644236,quke_post,126.1.1,0,quke_post 126.11 0 MPa,quke_post 126.11,0.000392035,NA,-0.063,v18,NA,NA
140.651648,quke_post,126.1.2,0,quke_post 126.12 0 MPa,quke_post 126.12,0.001754771,NA,-0.024,v18,NA,NA
140.6603602,quke_post,208.1.1,0,quke_post 208.11 0 MPa,quke_post 208.11,0.001233748,NA,-0.073,v18,NA,NA
140.6684042,quke_post,208.1.2,0,quke_post 208.12 0 MPa,quke_post 208.12,0.002141807,NA,-0.097,v18,NA,NA
140.6786445,quke_post,59.1.1,0,quke_post 59.11 0 MPa,quke_post 59.11,0.002445701,NA,-0.019,v18,NA,NA
140.6854116,quke_post,59.1.2,0,quke_post 59.12 0 MPa,quke_post 59.12,0.001678736,NA,-0.045,v18,NA,NA
140.692181,quke_post,47.2.1,0,quke_post 47.21 0 MPa,quke_post 47.21,0.000242076,NA,-0.06,v18,NA,NA
140.7012116,quke_post,47.2.2,0,quke_post 47.22 0 MPa,quke_post 47.22,4.67E-05,NA,-0.56,v18,NA,NA
140.709423,quke_post,26.3.1,0,quke_post 26.31 0 MPa,quke_post 26.31,0.000178799,NA,-0.065,v18,NA,NA
140.7161947,quke_post,26.3.2,0,quke_post 26.32 0 MPa,quke_post 26.32,0.000317739,NA,-0.032,v18,NA,NA
140.7234526,quke_post,59.2.1,0,quke_post 59.21 0 MPa,quke_post 59.21,0.000540349,NA,-0.043,v18,NA,NA
140.7323733,quke_post,59.2.2,0,quke_post 59.22 0 MPa,quke_post 59.22,0.000414924,NA,-0.035,v18,NA,NA
140.7367425,quke_post,126.2.1,0,quke_post 126.21 0 MPa,quke_post 126.21,0.000449883,NA,-0.042,v18,NA,NA
140.7427407,quke_post,126.2.2,0,quke_post 126.22 0 MPa,quke_post 126.22,0.000379086,NA,-0.046,v18,NA,NA
140.7524661,quke_post,26.2.1,0,quke_post 26.21 0 MPa,quke_post 26.21,0.000168825,NA,-0.043,v18,NA,NA
140.759947,quke_post,26.2.2,0,quke_post 26.22 0 MPa,quke_post 26.22,0.000591368,NA,-0.027,v18,NA,NA
140.7664895,quke_post,126.4.1,0,quke_post 126.41 0 MPa,quke_post 126.41,0.000833758,NA,-0.054,v18,NA,NA
140.7741104,quke_post,126.4.2,0,quke_post 126.42 0 MPa,quke_post 126.42,0.00055963,NA,-0.083,v18,NA,NA
140.7786455,quke_post,198.4.1,0,quke_post 198.41 0 MPa,quke_post 198.41,0.000217747,NA,-0.02,v18,NA,NA
140.7860528,quke_post,198.4.2,0,quke_post 198.42 0 MPa,quke_post 198.42,0.000539249,NA,-0.035,v18,NA,NA
140.793259,quke_post,26.4.1,0,quke_post 26.41 0 MPa,quke_post 26.41,0.000484031,NA,-0.03,v18,NA,NA
140.8003033,quke_post,26.4.2,0,quke_post 26.42 0 MPa,quke_post 26.42,5.08E-05,NA,-0.4,v18,NA,NA
140.8064775,quke_post,26.1.1,0,quke_post 26.11 0 MPa,quke_post 26.11,0.001452251,NA,-0.02,v18,NA,NA
140.8135061,quke_post,26.1.2,0,quke_post 26.12 0 MPa,quke_post 26.12,0.001371858,NA,-0.018,v18,NA,NA
