"TOA5,""31406"",""CR1000X"",""31406"",""CR1000X.Std.05.01"",""CPU:sap_flow.CR1X"",""24332"",""Sap_Flow_Data"""
"TIMESTAMP,""RECORD"",""SapFlowTotal"",""SFD_Outer"",""SFD_Inner"",""Alpha_Outer"",""Alpha_Inner"",""Beta_Outer"",""Beta_Inner"",""Tmax_Outer"",""Tmax_Inner"""
"TS,""RN"",""L/hr"",""cm3//cm2hr"",""cm3/cm2/hr"","""","""","""","""",""secs"",""secs"""
","""",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"""
"2022-05-04 09:00:00,68,0.584,10.43,17.08,0.55444,0.90721,0.55501,0.94957,55.804,47.018"
"2022-05-04 09:20:00,69,1.021,13.98,35.54,0.74231,1.00273,0.70502,1.02205,50.439,45.115"
"2022-05-04 09:40:00,70,1.105,14.25,39.64,0.75657,0.99879,0.68336,1.0323,52.13,43.76"
"2022-05-04 10:00:00,71,1.088,15.53,37.03,0.82501,1.14975,0.73871,1.13347,49.138,44.642"
"2022-05-04 10:20:00,72,1.093,14.33,38.86,0.76123,1.13053,0.72879,1.13641,51.163,44.027"
"2022-05-04 10:40:00,73,1.091,15.43,37.29,0.81985,1.14877,0.77511,1.14246,51.677,44.543"
"2022-05-04 11:00:00,74,1.091,14.85,38.09,0.78887,1.24103,0.75598,1.21639,49.616,44.29"
"2022-05-04 11:20:00,75,1.175,16.78,39.96,0.89163,1.23893,0.80739,1.21825,49.308,43.672"
"2022-05-04 11:40:00,76,1.232,16.16,43.79,0.85834,1.23517,0.78729,1.22339,49.129,42.411"
"2022-05-04 12:00:00,77,1.339,20.4,43.86,1.08299,1.26139,0.86297,1.23189,48.671,42.365"
"2022-05-04 12:20:00,78,1.194,16.73,41.04,0.88885,1.25062,0.81489,1.22563,49.758,43.298"
"2022-05-04 12:40:00,79,1.152,15.56,40.34,0.82668,1.24857,0.77379,1.24022,49.819,43.514"
"2022-05-04 13:00:00,80,1.229,18,41.21,0.95631,1.26225,0.86139,1.23141,49.968,43.25"
"2022-05-04 13:20:00,81,1.16,15.43,40.97,0.81943,1.24956,0.77057,1.22124,50.863,43.316"
"2022-05-04 13:40:00,82,1.167,15.41,41.34,0.81856,1.18545,0.7597,1.18315,49.927,43.206"
"2022-05-04 14:00:00,83,1.264,19.46,41.12,1.03394,1.27208,0.88223,1.22124,49.577,43.27"
"2022-05-04 14:20:00,84,1.115,14.53,39.77,0.77217,1.19903,0.73828,1.19483,51.54,43.731"
"2022-05-04 14:40:00,85,1.101,13.81,39.99,0.73398,1.20257,0.70502,1.18005,50.767,43.63"
"2022-05-04 15:00:00,86,1.103,13.28,40.81,0.70539,1.15763,0.70089,1.14805,50.919,43.37"
"2022-05-04 15:20:00,87,1.144,15.18,40.46,0.80672,1.15335,0.76241,1.13289,50.773,43.481"
"2022-05-04 15:40:00,88,1.119,17.05,36.66,0.90548,1.18773,0.79489,1.14083,51.331,44.764"
"2022-05-04 16:00:00,89,0.977,12.56,35.08,0.66712,1.01856,0.64206,1.02845,52.836,45.286"
"2022-05-04 16:20:00,90,1.165,18.41,37.28,0.9778,1.14075,0.81302,1.09859,50.868,44.561"
"2022-05-04 16:40:00,91,0.709,14.01,18.91,0.74407,1.00449,0.67884,0.98613,52.822,45.534"
"2022-05-04 17:00:00,92,0.594,11.01,16.81,0.5847,0.89282,0.56278,0.90409,54.565,46.192"
"2022-05-04 17:20:00,93,0.595,11.41,16.36,0.60614,0.86906,0.5596,0.87338,53.206,45.921"
"2022-05-04 17:40:00,94,0.596,11.68,16.05,0.62004,0.85204,0.56864,0.85089,52.755,45.366"
"2022-05-04 18:00:00,95,0.516,9.68,14.45,0.514,0.76706,0.48892,0.77654,53.06,45.927"
"2022-05-04 18:20:00,96,0.483,9.25,13.3,0.49109,0.70587,0.45914,0.71865,52.758,45.212"
"2022-05-04 18:40:00,97,0.418,7.98,11.53,0.42424,0.61244,0.39161,0.63648,51.711,44.99"
"2022-05-04 19:00:00,98,0.341,6.53,9.38,0.34667,0.49844,0.32214,0.53316,52.429,44.216"
"2022-05-04 19:20:00,99,0.284,5.38,7.86,0.2857,0.41738,0.27126,0.4679,51.815,44.272"
"2022-05-04 19:40:00,100,0.243,4.48,6.9,0.23842,0.36635,0.23316,0.42454,51.015,42.648"
"2022-05-04 20:00:00,101,0.231,4.48,6.28,0.23816,0.33332,0.22738,0.39728,51.325,42.804"
"2022-05-04 20:20:00,102,0.211,3.93,5.93,0.20922,0.31492,0.20786,0.38116,52.735,43.382"
"2022-05-04 20:40:00,103,0.208,3.88,5.87,0.20626,0.31154,0.20505,0.3747,51.637,43.113"
"2022-05-04 21:00:00,104,0.197,3.6,5.63,0.19074,0.29902,0.19315,0.36676,51.452,43.082"
"2022-05-04 21:20:00,105,0.203,3.82,5.68,0.2026,0.30211,0.19878,0.3695,52.926,42.495"
"2022-05-04 21:40:00,106,0.196,3.6,5.6,0.19074,0.297,0.19028,0.36801,53.386,42.951"
"2022-05-04 22:00:00,107,0.199,3.7,5.65,0.1967,0.30008,0.19315,0.36524,50.917,42.551"
"2022-05-04 22:20:00,108,0.198,3.63,5.68,0.19311,0.30211,0.19252,0.37074,51.054,43.258"
"2022-05-04 22:40:00,109,0.188,3.42,5.43,0.18114,0.28871,0.18172,0.35468,51.427,43.887"
"2022-05-04 23:00:00,110,0.193,3.6,5.45,0.19139,0.28973,0.18806,0.35196,51.119,43.425"
"2022-05-04 23:20:00,111,0.18,3.28,5.15,0.17473,0.27346,0.17673,0.3381,52.981,43.374"
"2022-05-04 23:40:00,112,0.178,3.28,5.08,0.1746,0.27036,0.1795,0.3392,51.399,43.289"
"2022-05-05 00:00:00,113,0.193,3.72,5.27,0.1976,0.27938,0.19621,0.34644,50.66,42.704"
"2022-05-05 00:20:00,114,0.175,3.17,5.05,0.16838,0.26826,0.17341,0.33644,52.355,42.493"
"2022-05-05 00:40:00,115,0.164,2.93,4.78,0.15609,0.25436,0.15926,0.32772,52.99,43.538"
"2022-05-05 01:00:00,116,0.172,3.18,4.9,0.16915,0.26052,0.17184,0.32772,53.101,43.491"
"2022-05-05 01:20:00,117,0.177,3.4,4.83,0.18062,0.25656,0.18286,0.32664,54.517,43.259"
"2022-05-05 01:40:00,118,0.167,3.08,4.77,0.1639,0.2535,0.16904,0.32017,51.91,44.369"
"2022-05-05 02:00:00,119,0.177,3.35,4.93,0.17774,0.26172,0.18013,0.33106,53.203,44.264"
"2022-05-05 02:20:00,120,0.179,3.38,5,0.1794,0.26568,0.17847,0.33106,54.387,43.796"
"2022-05-05 02:40:00,121,0.178,3.28,5.07,0.1742,0.26874,0.17622,0.33752,52.969,42.951"
"2022-05-05 03:00:00,122,0.181,3.35,5.13,0.17825,0.27268,0.17952,0.33752,52.581,43.953"
"2022-05-05 03:20:00,123,0.184,3.33,5.3,0.17711,0.2817,0.18233,0.34295,53.092,43.742"
"2022-05-05 03:40:00,124,0.204,3.93,5.57,0.20896,0.29564,0.20618,0.35856,52.526,43.745"
"2022-05-05 04:00:00,125,0.195,3.55,5.62,0.18866,0.2986,0.19006,0.36123,52.671,43.736"
"2022-05-05 04:20:00,126,0.202,3.73,5.75,0.1984,0.30556,0.19947,0.36506,53.804,44.35"
"2022-05-05 04:40:00,127,0.204,3.77,5.8,0.20032,0.3077,0.20404,0.36621,53.908,43.733"
"2022-05-05 05:00:00,128,0.211,3.92,5.97,0.2076,0.31661,0.20826,0.37542,53.381,42.952"
"2022-05-05 05:20:00,129,0.213,3.98,6.02,0.21182,0.31955,0.20888,0.37807,52.699,43.665"
"2022-05-05 05:40:00,130,0.222,4.22,6.17,0.22384,0.32764,0.21774,0.38454,53.173,44.395"
"2022-05-05 06:00:00,131,0.22,4.05,6.25,0.21532,0.33176,0.21497,0.38968,53.46,44.109"
"2022-05-05 06:20:00,132,0.253,5.37,6.28,0.28524,0.3336,0.27086,0.3861,63.164,44.464"
"2022-05-05 06:40:00,133,0.222,4.43,5.85,0.23556,0.31094,-99,-99,-99,54.209"
"2022-05-05 07:00:00,134,0.405,9.71,8.55,0.51618,0.45388,-99,-99,-99,50.656"
"2022-05-05 07:20:00,135,0.433,8.75,11.28,0.46506,0.59928,0.43138,0.63048,50.723,48.139"
"2022-05-05 07:40:00,136,0.716,15.11,17.85,0.80288,0.94749,0.68627,0.92695,50.245,45.179"
"2022-05-05 08:00:00,137,1.09,16.31,36.09,0.86628,1.07702,0.8173,1.06019,59.939,44.952"
"2022-05-05 08:20:00,138,0.939,10.71,35.51,0.56876,1.05951,0.61436,1.09323,48.144,45.144"
"2022-05-05 08:40:00,139,1.145,18.1,36.63,0.96099,1.17306,0.89556,1.17909,52.59,44.779"
"2022-05-05 09:00:00,140,0.989,11.26,37.46,0.59818,1.02807,0.63166,1.09688,52.452,44.486"
"2022-05-05 09:20:00,141,1.203,18.03,39.77,0.95765,1.12257,0.89594,1.16141,50.035,43.72"
"2022-05-05 09:40:00,142,1.268,17.78,43.57,0.94481,1.30853,0.8924,1.28855,45.056,42.47"
"2022-05-05 10:00:00,143,1.309,18.58,44.69,0.98723,1.39709,0.88459,1.34221,45.367,42.106"
"2022-05-05 10:20:00,144,1.287,16.53,46.22,0.87819,1.32338,0.80049,1.30473,46.276,41.622"
"2022-05-05 10:40:00,145,1.26,16.7,44.57,0.88702,1.34087,0.83405,1.31955,46.795,42.14"
"2022-05-05 11:00:00,146,1.381,20.76,45.57,1.10281,1.33541,0.90511,1.31043,47.157,41.828"
"2022-05-05 11:20:00,147,1.289,18.31,43.94,0.97245,1.34127,0.89949,1.30692,47.678,42.349"
"2022-05-05 11:40:00,148,1.351,19.15,46.16,1.01691,1.34087,0.90878,1.31167,47.122,41.645"
"2022-05-05 12:00:00,149,1.355,20.81,44.16,1.10507,1.38837,0.96321,1.32661,46.67,42.276"
"2022-05-05 12:20:00,150,1.358,21.13,43.89,1.12197,1.34931,0.98209,1.30869,46.61,42.373"
